metrica,valore
Ticker totali,30
Direzione LONG,20 (67%)
Direzione SHORT,1 (3%)
Direzione NEUTRAL,9 (30%)
Dati completi (4/4),30
Composite medio,70.3
Revenue Growth medio,64.4
Op Margin medio,77.3
FCF Yield medio,69.3
Debt/Equity medio,79.7
Insider medio,60.6
LONG soglia,65.0
SHORT soglia,35.0
